url,note,modal_present,banner_present,tp_cookies_before,tp_cookies_after,tp_requests_before,tp_requests_after,tp_requests_total,tracking_tp_before,tracking_tp_after,tracking_tp_total,tracking_tp_additional,duration,tp_id_leaks_before,tp_cookie_sync_before,fingerprinting_before,tp_id_leaks_after,tp_cookie_sync_after,fingerprinting_after
https://hannovermesse.de,,0,1,1,2,10,12,13,10,12,13,3,8,0,0,0,0,0,0
https://hs-hannover.de,m,1,1,0,0,2,2,2,2,2,2,0,13,0,0,0,0,0,0
https://gfz-potsdam.de,m,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
https://dunkel.de,x,0,0,0,0,5,0,5,5,0,5,0,6,0,0,0,0,0,0
https://selfhost.de,x,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
https://nordbayern.de,m,1,1,3,59,15,155,164,15,155,164,149,11,0,0,0,238,231,0
https://resellerinterface.de,x,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
https://iphh.de,x,0,0,0,0,1,0,1,1,0,1,0,12,0,0,0,0,0,0
https://yahoo.de,m,1,1,1,27,4,78,78,4,78,78,74,6,0,0,0,59,59,0
https://www.uni-due.de,x,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
https://idealo.de,m,1,1,0,22,4,64,64,4,64,64,60,8,1,0,0,27,22,0
https://bike-discount.de,m,1,1,0,0,11,0,11,11,0,11,0,11,0,0,0,0,0,0
https://www.uni-giessen.de,x,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
https://zooplus.de,m,1,1,0,2,25,10,34,25,9,33,8,8,0,0,0,6,5,0
https://lvr.de,m,1,1,0,0,1,0,1,1,0,1,0,8,0,0,0,0,0,0
https://tz.de,m,1,1,0,0,10,1,11,10,1,11,1,11,0,0,0,0,0,0
https://bildderfrau.de,m,1,1,0,48,2,150,151,2,150,151,149,6,0,0,0,175,151,0
https://apotheken-umschau.de,m,1,1,0,23,4,71,74,4,71,74,70,8,1,0,0,40,39,0
https://dhl.de,m,1,1,0,1,4,8,8,4,7,7,3,9,0,0,0,0,0,0
https://lmu.de,x,0,0,0,0,1,0,1,1,0,1,0,6,0,0,0,0,0,0
https://tagesschau.de,x,0,0,1,1,8,1,9,8,1,9,1,6,0,0,0,0,0,0
https://glamour.de,m,1,1,0,8,10,46,52,10,46,52,42,8,0,0,0,36,12,0
https://freitag.de,m,1,1,0,28,3,76,78,3,76,78,75,9,1,0,0,60,28,0
https://bmbf.de,m,1,1,0,0,1,1,2,1,1,2,1,8,0,0,0,0,0,0
https://united-domains.de,m,1,1,0,11,1,28,28,1,28,28,27,9,0,0,0,7,2,0
https://autobid.de,m,1,1,0,0,7,1,7,7,1,7,0,8,0,0,0,0,0,0
https://trustedshops.de,x,0,0,0,0,2,0,2,2,0,2,0,6,0,0,0,0,0,0
https://boell.de,,0,1,0,0,4,2,4,4,2,4,0,7,0,0,0,0,0,0
https://ddnss.de,,0,1,0,0,0,1,1,0,1,1,1,6,0,0,0,0,0,0
https://fhd.de,x,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
https://schalke04.de,m,1,1,0,0,12,0,12,12,0,12,0,12,0,0,0,0,0,0
https://tu-ilmenau.de,x,0,0,1,1,3,0,3,3,0,3,0,5,0,0,0,0,0,0
https://fh-trier.de,x,0,0,0,0,1,0,1,1,0,1,0,9,0,0,0,0,0,0
https://hosteurope.de/,m,1,1,0,2,4,24,27,4,24,27,23,9,0,0,0,3,0,0
https://payback.de,m,1,1,0,1,2,5,5,2,5,5,3,8,0,0,0,1,0,0
https://mpg.de,x,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
https://datenschutz-generator.de/,m,1,1,0,0,1,2,3,1,2,3,2,8,0,0,0,0,0,0
http://ewetel.de,m,1,1,1,5,7,18,20,7,18,20,13,7,0,0,0,1,1,0
https://gelbeseiten.de,m,1,1,2,2,16,1,16,16,1,16,0,6,3,0,0,1,0,0
https://assertcom.de ,x,0,0,0,0,1,0,1,1,0,1,0,8,0,0,0,0,0,0
https://dfn.de,x,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
https://uni-jena.de ,x,0,0,1,1,3,1,3,3,1,3,0,7,0,0,0,0,0,0
https://pearl.de,,0,1,5,5,10,2,10,10,2,10,0,15,5,2,0,0,0,0
https://hessenschau.de,x,0,0,2,2,6,0,6,6,0,6,0,6,0,0,0,0,0,0
https://tu-bs.de/,x,0,0,1,1,1,0,1,1,0,1,0,7,0,0,0,0,0,0
https://bundesregierung.de,,0,1,0,0,1,0,1,1,0,1,0,8,0,0,0,0,0,0
https://blocklist.de,x,0,0,10,10,29,0,29,29,0,29,0,11,4,2,0,0,0,0
https://vodafonemail.de,m,1,1,0,2,3,15,17,3,15,17,14,6,0,0,0,0,0,0
https://adac.de,,0,1,0,0,4,1,4,4,1,4,0,8,0,0,0,0,0,0
https://charite.de,x,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
https://unicef.de,m,1,1,2,3,9,10,17,9,10,17,8,12,1,0,0,0,0,0
https://aok.de,m,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0
https://merkur.de,m,1,1,0,49,15,131,144,15,131,144,129,11,0,0,0,183,105,0
https://greenpeace.de/,m,1,1,1,1,8,6,11,8,6,11,3,9,0,0,0,0,0,0
https://deutschlandradio.de,x,0,0,1,1,3,0,3,3,0,3,0,9,0,0,0,0,0,0
https://audi.de,m,1,1,1,5,6,14,19,6,14,19,13,11,0,0,0,0,0,0
https://lynet.de,m,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
https://sigma-chemnitz.de,m,1,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
https://www.ioam.de,m,1,1,0,2,1,7,7,1,7,7,6,8,0,0,0,0,0,0
https://schleswig-holstein.de,m,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
https://epochtimes.de/,m,1,1,0,2,18,15,27,18,14,26,8,8,0,0,0,5,4,0
https://lima-city.de,x,0,0,0,0,9,0,9,9,0,9,0,14,5,5,0,0,0,0
https://bmfsfj.de,x,0,0,0,0,2,0,2,2,0,2,0,6,0,0,0,0,0,0
https://bmw-motorrad.de,,0,1,0,7,5,14,17,5,14,17,12,11,0,0,0,1,1,0
https://markt.de,m,1,1,0,27,3,80,81,3,80,81,78,9,1,0,0,73,29,0
https://sky.de,m,1,1,0,1,19,2,19,19,2,19,0,14,1,0,0,0,0,0
https://devk.de,m,1,1,0,0,1,7,7,1,7,7,6,6,0,0,0,0,0,0
https://3sat.de,m,1,1,0,2,1,11,12,1,11,12,11,7,0,0,0,0,0,0
https://juraforum.de,m,1,1,2,3,8,1,8,8,1,8,0,6,0,0,0,1,1,0
https://haw-hamburg.de/,m,1,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
https://spieletipps.de,m,1,1,0,29,8,119,124,8,118,123,115,6,1,0,0,138,68,0
https://tag24.de,m,1,1,1,1,10,1,11,10,1,11,1,5,1,1,0,0,0,0
https://messe-stuttgart.de,m,1,1,1,12,7,27,33,7,27,33,26,9,2,0,0,14,13,0
https://srv2.de,x,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
https://einreiseanmeldung.de,x,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
https://br-online.de/,x,0,0,4,4,12,0,12,12,0,12,0,9,0,0,0,0,0,0
https://uni-erlangen.de,x,0,0,2,2,3,0,3,3,0,3,0,7,1,1,0,0,0,0
https://uni-passau.de,x,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
https://baden-wuerttemberg.de,,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
https://ip-projects.de/,m,1,1,0,0,1,1,1,1,1,1,0,11,0,0,0,0,0,0
https://united-hoster.de,,0,1,0,1,3,11,11,3,11,11,8,6,0,0,0,1,0,0
https://presseportal.de,x,0,0,1,1,7,1,7,7,1,7,0,8,0,0,0,0,0,0
https://aldi-sued.de/,m,1,1,0,3,3,8,9,3,8,9,6,7,0,0,0,1,0,0
https://rossmann.de,m,1,1,0,8,5,21,25,5,21,25,20,10,0,0,0,5,2,0
https://smartsteuer.de/,m,1,1,0,2,3,17,18,3,17,18,15,6,0,0,0,3,0,0
https://vodafone.de,m,1,1,1,1,3,0,3,3,0,3,0,6,0,0,0,0,0,0
https://i-motion.de,m,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
https://pinterest.de,x,0,0,1,1,10,0,10,7,0,7,0,13,0,0,0,0,0,0
https://kbv.de,m,1,1,0,0,1,0,1,1,0,1,0,11,0,0,0,0,0,0
https://uni-wuppertal.de,x,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
https://test.de,m,1,1,0,0,1,3,4,1,3,4,3,6,0,0,0,0,0,0
http://gdns.de/,x,0,0,0,0,1,0,1,1,0,1,0,5,0,0,0,0,0,0
https://oppenheim.de,m,1,1,0,0,7,3,7,7,3,7,0,7,0,0,0,0,0,0
https://targobank.de/,m,1,1,0,5,5,15,16,5,15,16,11,13,2,0,0,7,0,0
https://utopia.de,m,1,1,0,1,2,22,23,2,22,23,21,10,1,0,0,4,0,0
https://netdoktor.de,m,1,1,0,18,8,58,62,8,58,62,54,7,0,0,0,14,12,0
