domain,count
y4fh9izdrach2ablux5kqagdpkhi41657285571.nuid.nmrodam.com,1
5d6d3b9c5b876c054772cf02f970a455.safeframe.googlesyndication.com,1
stat.meetrics.net,6
ads.creative-serving.com,8
cdn-gl.nmrodam.com,2
positions.upscore.com,1
protected-by.clarium.io,4
api.yieldlove-ad-serving.net,5
ats.otto.de,3
farm-de.plista.com,1
js.adscale.de,6
prod-ingestion.tracking.v2.yieldlove-ad-serving.net,5
ice.360yield.com,6
5b5fa25d5e93dafbc65d8fc8e0e4f8bf.safeframe.googlesyndication.com,1
pixel.mathtag.com,8
c2.taboola.com,1
cdn-a.yieldlove.com,4
cms.analytics.yahoo.com,10
audex.userreport.com,5
ws3.rqtrk.eu,6
storage.googleapis.com,6
tracking.m6r.eu,6
confiant-integrations.global.ssl.fastly.net,5
track.adform.net,16
f372fcb2.de.ioam.de,1
cdn.stroeerdigitalgroup.de,2
sak.userreport.com,6
widget.perfectmarket.com,1
pdw-usr.userreport.com,5
secureir.ebaystatic.com,1
c.nativendo.de,2
www.ebayadservices.com,1
ssum.casalemedia.com,6
tagm.tchibo.de,1
hb.adscale.de,5
sync.smartadserver.com,7
region1.google-analytics.com,14
metrics.nt.vc,1
cdn.stroeerdigitalmedia.de,2
1e42351421bb5591e3e3e19b6e09f669.safeframe.googlesyndication.com,1
s1.adform.net,5
visitanalytics.userreport.com,6
cdn.revjet.com,3
vidapi1.threepi.de,5
tag.userreport.com,6
adx.adform.net,7
t.nativendo.de,4
tracking-a.dsp.m6r.eu,6
s400.mxcdn.net,5
secure.insightexpressai.com,1
nr-events.taboola.com,1
nugmw.userreport.com,5
d.nativendo.de,2
lb90.s400.meetrics.net,1
n.nativendo.de,5
t23.intelliad.de,2
s2.adform.net,5
gwe-dmz-cc.telekom.de,1
js.adsrvr.org,5
a1.adform.net,1
events.contiamo.com,1
61e8c7ca.de.ioam.de,1
t13.intelliad.de,2
tag.contiamo.com,1
cdn.mateti.net,2
insight.adsrvr.org,5
uss.xplosion.de,5
dcinfos-cache.abtasty.com,1
ariane.abtasty.com,1
www.econda-monitor.de,2
a.tiles-api.maps.komoot.net,1
www.googleoptimize.com,3
tiles-api.maps.komoot.net,1
c.tiles-api.maps.komoot.net,1
b.tiles-api.maps.komoot.net,1
dmp.adform.net,3
dc4b88a16e119543079e0c4564063e56.safeframe.googlesyndication.com,1
tlx.3lift.com,8
d.turn.com,5
iqdigital.demdex.net,3
ps.eyeota.net,7
cm.everesttech.net,3
d16z38s472vlz5.cloudfront.net,3
iqdigitalmediamarketinggmbh.sc.omtrdc.net,3
493a2874.de.ioam.de,1
p.yieldlab.net,2
www.dianomi.com,1
dx6ctphzljkf1.cloudfront.net,3
www.gstatic.com,8
uf.noclef.com,1
asmscript.xyz,1
load77.exelator.com,1
server.seadform.net,1
opt.kuponacdn.de,1
uipglob.semasio.net,5
mwzeom.zeotap.com,5
maytrics.marvellousmachine.net,1
ad.ad-srv.net,3
d31bfnnwekbny6.cloudfront.net,1
tm.ad-srv.net,1
redirect.frontend.weborama.fr,1
sync.1dmp.io,1
pixel.bsmartdata.com,2
tm701.ad-srv.net,1
id5-sync.com,11
a.audrte.com,4
5722223.fls.doubleclick.net,1
tags.bluekai.com,1
aa.agkn.com,1
mastertag.kpcustomer.de,1
global.ib-ibi.com,1
containertags.belboon.de,1
loada.exelator.com,9
pixel.tapad.com,2
spl.zeotap.com,2
sync.crwdcntrl.net,5
tr.fatmedia.io,1
api.adrtx.net,1
ad13.adfarm1.adition.com,1
pdw-adf.userreport.com,1
sync.teads.tv,7
e1.emxdgt.com,1
match.contentexchange.me,1
eu-api-visit.kameleoon.eu,3
eu-api-tracker.kameleoon.eu,1
cdn.epoq.de,1
rs.epoq.de,1
istor01.webtrekk.net,1
fahrrad-de.arc.epoq.de,1
fbc.wcfbc.net,3
survey.survicate.com,1
respondent.survicate.com,1
surveys-static.survicate.com,1
responder.wt-safetag.com,2
7b6mxsc7o7.kameleoon.eu,1
www.everestjs.net,1
datalayer.p7s1.io,1
cdn.zomap.de,1
de-config.sensic.net,2
cdn.optimizely.com,3
adserver.71i.de,1
dynamic.criteo.com,2
api-v3.tinypass.com,1
yieldlove-d.openx.net,3
templates.stroeerdigital.de,2
tentacles.smartocto.com,1
de.f11-ads.com,1
api.cxense.com,1
_.rocks,1
static-eu.cleverpush.com,1
dmx.districtm.io,3
cdn.ampproject.org,5
player.podigee-cdn.net,1
dt.adsafeprotected.com,6
portal.o2online.de,2
fca-podcast.podigee.io,1
content-thumbnail.cxpublic.com,1
static.wlct-one.de,1
cdn-de.f11-ads.com,1
a2a63d89ce4719df8a7932c914d40b1a.safeframe.googlesyndication.com,1
id.rlcdn.com,8
6c42d21c.de.ioam.de,1
ad1.adfarm1.adition.com,1
id.cxense.com,2
comcluster.cxense.com,2
p1cluster.cxense.com,2
ingestion.smartocto.com,1
api.smartocto.com,1
images.podigee-cdn.net,1
cdn.nativendo.de,1
lb56.s400.meetrics.net,1
cdn.podigee.com,1
secure.quantserve.com,3
rules.quantcount.com,3
content.cptrack.de,1
dk8xdfmib9tp9.cloudfront.net,1
bc.brytes.de,1
in.hotjar.com,2
api.brytes.de,1
3a531e0213d5bbe199f15cb5eb779d48.safeframe.googlesyndication.com,1
quantyoo.de,1
33419f0d1ccf7527ea6eea951f3e3305.safeframe.googlesyndication.com,1
a95e96c33a64483ffc04c7cf441eafbe.safeframe.googlesyndication.com,1
2a0ea6a6d52032f24aff9e6e6635a24c.safeframe.googlesyndication.com,1
synchrobox.adswizz.com,1
d2fd98194fe9ee24b0f56c7e48c625e8.safeframe.googlesyndication.com,1
simage4.pubmatic.com,7
native.adscale.de,1
ssp-sync.criteo.com,1
t.pubmatic.com,1
api-eu.cleverpush.com,1
bbnaut.ibillboard.com,1
bcp.crwdcntrl.net,2
ce.lijit.com,6
aorta.clickagy.com,4
haz.weekli.de,1
pixel-us-east.rubiconproject.com,3
tpsc-frc.doubleverify.com,1
54b6574e5f7d9348175d2aca7b3d851c.safeframe.googlesyndication.com,1
6d1c48ab.de.ioam.de,1
static-nt.weekli.systems,1
mst.rnd.de,1
goetheinstitut01.webtrekk.net,1
ea0987cd70750d21e1b17846fecec5e8.safeframe.googlesyndication.com,1
services.brid.tv,1
cdn.pbstck.com,4
p.brid.tv,1
pubads.g.doubleclick.net,1
83e7f1cdab8d09a16c4d9030e3ed0c74.safeframe.googlesyndication.com,1
imasdk.googleapis.com,2
signal-beacon.s-onetag.com,4
stats-dev.brid.tv,1
signal-segments.s-onetag.com,4
bb022166cf36f6a9b6fa88c14c17ea92.safeframe.googlesyndication.com,1
get.s-onetag.com,4
script.4dex.io,1
intake.pbstck.com,4
b3dfb75a871475bc872d6dcd211a3d05.safeframe.googlesyndication.com,1
03dbe515ea93551fb976249e43014c3c.safeframe.googlesyndication.com,1
vfd2dyn.vodafone.de,3
31db67fbaae1e62267b59b6fc5b311c5.safeframe.googlesyndication.com,1
dfp-gateway.s-onetag.com,3
boot.pbstck.com,4
onetag-geo.s-onetag.com,4
creatives.sascdn.com,1
ced-ns.sascdn.com,1
www3.smartadserver.com,1
21ffa777.de.ioam.de,1
b46.s400.meetrics.net,1
www.storygize.net,1
usersync.getpublica.com,1
sasinator.realestate.com.au,1
trx.adscale.de,1
js.stroeermediabrands.de,2
lb1.s400.meetrics.net,1
cm.adgrx.com,6
dsp.active-agent.com,1
us.creativecdn.com,1
73a988d5a0b7098c8d45172ae37ee234.safeframe.googlesyndication.com,1
sync.ipredictive.com,1
dspcluster.adfarm1.adition.com,1
ib.3lift.com,1
loadeu.exelator.com,1
a.sportradarserving.com,2
d.adroll.com,3
api.orginfo.io,1
static.orginfo.io,1
sdk.fra-01.braze.eu,1
retrack-kupona.kuponacdn.de,1
stats-bq.stylight.net,1
www.usemaxserver.de,1
staticcloud.linkfire.com,1
bf61191dio.bf.dynatrace.com,1
ad11.adfarm1.adition.com,2
api.bounce-commerce.de,1
as.ad4m.at,3
r.adserver01.de,2
hal9000.redintelligence.net,1
wm.wiredminds.de,1
sync.1rx.io,5
udc-neb.kampyle.com,1
prf.audiencemanager.de,1
script.crazyegg.com,2
pix.hyj.mobi,1
resources.digital-cloud.medallia.eu,1
www.audiencemanager.de,1
4395928.fls.doubleclick.net,1
s.pubmine.com,1
sync.targeting.unrulymedia.com,4
services.crosssell.info,1
02179916.akstat.io,1
logs1408.xiti.com,1
usersync.gumgum.com,2
102d0f33.de.ioam.de,1
rtb.mfadsrvr.com,5
pixel-sync.sitescout.com,4
sync.srv.stackadapt.com,4
ade.googlesyndication.com,2
rumcdn.geoedge.be,1
dsp.nrich.ai,1
mp.4dex.io,1
fw.adsafeprotected.com,3
gw.geoedge.be,1
csi.gstatic.com,3
data.adsrvr.org,4
px.owneriq.net,3
gcdn.2mdn.net,1
pixel-eu.rubiconproject.com,3
5d5d89818c88d72c26dfc0db24ef3a71.safeframe.googlesyndication.com,1
